Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
121,ADAWEHI LN,BREVARD,NC,28712,35.15472151,-82.74188347,House, 
90,AMA CT,BREVARD,NC,28712,35.16085508,-82.73430031,House, 
27,ANV CT,BREVARD,NC,28712,35.15176567,-82.7250324,House, 
41,ANV CT,BREVARD,NC,28712,35.15145183,-82.72515074,House, 
44,ANV CT,BREVARD,NC,28712,35.15129181,-82.72554235,House, 
137,CANTRELL MOUNTAIN RD,BREVARD,NC,28712,35.16318149,-82.72454357,House, 
217,CANTRELL MOUNTAIN RD,BREVARD,NC,28712,35.16415329,-82.72395968,House, 
221,CANTRELL MOUNTAIN RD,BREVARD,NC,28712,35.16417791,-82.72270469,House, 
99,CATATOGA PATH,BREVARD,NC,28712,35.15190732,-82.74211839,House, 
113,CATATOGA PATH,BREVARD,NC,28712,35.15197501,-82.74180647,House, 
138,CATATOGA PATH,BREVARD,NC,28712,35.15161319,-82.74119523,House, 
145,CATATOGA PATH,BREVARD,NC,28712,35.15210567,-82.74119153,House, 
205,CATATOGA PATH,BREVARD,NC,28712,35.15204713,-82.73976244,House, 
207,CATATOGA PATH,BREVARD,NC,28712,35.15166511,-82.73960716,House, 
260,CATATOGA PATH,BREVARD,NC,28712,35.15116082,-82.74013161,House, 
264,CATATOGA PATH,BREVARD,NC,28712,35.15081979,-82.73998014,House, 
288,CATATOGA PATH,BREVARD,NC,28712,35.15057875,-82.73991719,House, 
346,CATATOGA PATH,BREVARD,NC,28712,35.1499786,-82.73990639,House, 
354,CATATOGA PATH,BREVARD,NC,28712,35.14962675,-82.73993287,House, 
114,CHAGEE LN,BREVARD,NC,28712,35.16130294,-82.73601478,House, 
145,CHAGEE LN,BREVARD,NC,28712,35.16131395,-82.73689747,House, 
179,CHAGEE LN,BREVARD,NC,28712,35.16187528,-82.73738636,House, 
203,CHAGEE LN,BREVARD,NC,28712,35.16224681,-82.73735863,House, 
251,CHAGEE LN,BREVARD,NC,28712,35.16294473,-82.73707553,House, 
293,CHAGEE LN,BREVARD,NC,28712,35.16355539,-82.73675139,House, 
315,CHAGEE LN,BREVARD,NC,28712,35.16390026,-82.73664593,House, 
90,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14442338,-82.73299921,House, 
98,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14474306,-82.73313778,House, 
130,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14473201,-82.73383401,House, 
203,CHEESTOONAYA WAY,BREVARD,NC,28712,35.1444676,-82.73539751,House, 
204,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14440202,-82.73455454,House, 
224,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14467582,-82.73442837,House, 
248,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14521739,-82.73438492,House, 
267,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14537149,-82.73499474,House, 
268,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14544178,-82.73435146,House, 
307,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14570788,-82.73506764,House, 
335,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14615129,-82.73541919,House, 
351,CHEESTOONAYA WAY,BREVARD,NC,28712,35.14647037,-82.73545723,House, 
